id,code,exception,tax_classification
__export__.l10n_br_fiscal_ncm_11606_3e9d2233,0204.10.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11607_ac22c41f,0204.21.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11608_fdb13639,0204.22.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11609_d0d120f1,0204.23.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11610_bbee53f1,0204.30.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11611_3a9e8b1f,0204.41.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11612_2961abac,0204.42.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11613_b0727b80,0204.43.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11614_dd64503a,0204.50.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11615_616da51f,0205.00.00,,
__export__.l10n_br_fiscal_ncm_11616_e5ab0e23,0206.10.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11617_daa1e047,0206.21.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11618_4e562316,0206.22.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11619_077421d2,0206.29.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11620_02805c9c,0206.29.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11621_16d3a81a,0206.30.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11622_e279a068,0206.41.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11623_6559045d,0206.49.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11624_1c72f46b,0206.80.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11625_e6450dc8,0206.90.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11626_0d22fa42,0207.11.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11627_28eb2304,0207.12.00,,
__export__.l10n_br_fiscal_ncm_11628_aa8830c2,0207.13.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11629_7c06184a,0207.14.00,,
__export__.l10n_br_fiscal_ncm_11630_90d24c8b,0207.24.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11631_c08970ee,0207.25.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11632_a7e92b7a,0207.26.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11633_dc005813,0207.27.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11634_6ddd7e87,0207.41.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11635_6d715915,0207.42.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11636_115337bc,0207.43.00,,
__export__.l10n_br_fiscal_ncm_11637_08472720,0207.44.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11638_ca8b336f,0207.45.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11639_a600dbe1,0207.51.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11640_5a4f3216,0207.52.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11641_cc513146,0207.53.00,,
__export__.l10n_br_fiscal_ncm_11642_d536ec93,0207.54.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11643_a6f1998f,0207.55.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11644_c064a7be,0207.60.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11645_3c172614,0208.10.00,,
__export__.l10n_br_fiscal_ncm_11646_36775526,0208.30.00,,
__export__.l10n_br_fiscal_ncm_11647_3c3c6ff0,0208.40.00,,
__export__.l10n_br_fiscal_ncm_11648_a0976170,0208.50.00,,
__export__.l10n_br_fiscal_ncm_11649_e136f5cc,0208.60.00,,
__export__.l10n_br_fiscal_ncm_11650_b02edf56,0208.90.00,,
__export__.l10n_br_fiscal_ncm_11651_baf26aa0,0209.10.11,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11652_f6e97353,0209.10.19,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11653_0f78f07f,0209.10.21,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11654_7d635542,0209.10.29,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11655_99ff5ff9,0209.90.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11656_994982cd,0210.11.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11657_232bd9f7,0210.12.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11658_1220f2d0,0210.19.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11659_bee30326,0210.20.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11660_be8aead1,0210.91.00,,l10n_br_fiscal.tax_classification_200038
__export__.l10n_br_fiscal_ncm_11661_0d152325,0210.91.00,1,l10n_br_fiscal.tax_classification_200038
